Zip Code,Latitude,Longitude,City,State,County
99121,48.9938,-118.5068,Danville,Washington,Ferry
98006,47.5509,-122.1915,Hazelwood,Washington,King
98380,47.5576,-122.9785,Holly,Washington,Kitsap
99181,48.173,-117.7244,Valley,Washington,Stevens
99166,48.6485,-118.733,Republic,Washington,Ferry
99159,47.3326,-118.6893,Odessa,Washington,Lincoln
98372 98371,47.2309,-122.2832,Edgewood,Washington,Pierce
99167,48.4288,-118.1703,Rice,Washington,Stevens
98155 98177 98133 98160,47.7563,-122.3425,Shoreline,Washington,King
99119,48.3327,-117.2963,Cusick,Washington,Pend Oreille
98370,47.7073,-122.6374,Virginia,Washington,Kitsap
98237,48.5371,-121.7511,Concrete,Washington,Skagit
98260,48.0336,-122.408,Langley,Washington,Island
99344,46.8226,-119.1654,Othello,Washington,Adams
98155,47.7557,-122.3135,North City,Washington,King
98665,45.6797,-122.6553,Hazel Dell,Washington,Clark
99111,46.9032,-117.3386,Colfax,Washington,Whitman
99152,48.8539,-117.3898,Metaline,Washington,Pend Oreille
98377,46.5351,-121.957,Randle,Washington,Lewis
99206 99212,47.6858,-117.2805,Millwood,Washington,Spokane
98068,47.4015,-121.411,Snoqualmie Pass,Washington,Kittitas
98383,47.7209,-122.746,Bangor,Washington,Kitsap
98946,47.0655,-120.6709,Thorp,Washington,Kittitas
98070,47.3326,-122.5073,Tahlequah,Washington,King
99348,46.2989,-118.3126,Prescott,Washington,Walla Walla
98321,47.1614,-122.02,Buckley,Washington,Pierce
99156,48.2449,-117.2377,Dalkena,Washington,Pend Oreille
98376,47.8918,-122.8866,Leland,Washington,Jefferson
98902,46.6179,-120.5531,Fruitvale,Washington,Yakima
98339,48.0318,-122.7582,Port Hadlock,Washington,Jefferson
98466 98467 98464,47.2146,-122.5461,University Place,Washington,Pierce
98356,46.5576,-122.2815,Morton,Washington,Lewis
98638,46.3523,-123.6983,Deep River,Washington,Wahkiakum
99130,46.9813,-117.2213,Elberton,Washington,Whitman
98346,47.8014,-122.4989,Kingston,Washington,Kitsap
99161,46.9103,-117.0753,Palouse,Washington,Whitman
98593 98596,46.4046,-122.9569,Vader,Washington,Lewis
98951,46.4737,-120.3923,Donald,Washington,Yakima
99122,47.9107,-118.2925,Miles,Washington,Lincoln
99402,46.3372,-117.043,Asotin,Washington,Asotin
98363,48.1365,-123.7341,Joyce,Washington,Clallam
98110,47.6143,-122.5154,Eagledale,Washington,Kitsap
98365,47.9101,-122.7006,Port Ludlow,Washington,Jefferson
98827,48.8235,-119.6398,Loomis,Washington,Okanogan
98550,47.0573,-123.9271,New London,Washington,Grays Harbor
99349,46.6873,-119.9311,Desert Aire,Washington,Grant
98370,47.7417,-122.6408,Poulsbo,Washington,Kitsap
99137,48.1538,-118.1692,Cedonia,Washington,Stevens
98592,47.3475,-123.0952,Union,Washington,Mason
98392 98370,47.7236,-122.5831,Suquamish,Washington,Kitsap
99029,47.6429,-117.7122,Deep Creek,Washington,Spokane
98004,47.1865,-122.7062,Yoman,Washington,Pierce
98844,48.8665,-119.412,Cordell,Washington,Okanogan
98550,46.9857,-123.9006,Hoquiam,Washington,Grays Harbor
99155,48.1669,-118.9724,Nespelem,Washington,Okanogan
98823,47.3119,-119.5342,Ephrata,Washington,Grant
98031 98030 98032 98042 98035 98064 98089,47.3887,-122.2128,Kent,Washington,King
98275,47.9096,-122.3035,Mukilteo,Washington,Snohomish
98022,47.1804,-122.0157,Boise,Washington,King
98033 98011 98034 98083,47.6996,-122.1982,Kirkland,Washington,King
99361,46.2696,-118.1499,Waitsburg,Washington,Walla Walla
98586 98577,47.7473,-122.3179,Ridgecrest,Washington,King
99036,47.5182,-117.1958,Freeman,Washington,Spokane
98617 98635,45.6316,-121.1749,Dallesport,Washington,Klickitat
98052 98073,47.6776,-122.1176,Redmond,Washington,King
98396,47.1034,-122.0496,Wilkeson,Washington,Pierce
98223,48.1187,-122.1076,Sisco Heights,Washington,Snohomish
98604 98622,45.8124,-122.5146,Lewisville,Washington,Clark
98012,47.8201,-122.2076,Kennard Corner,Washington,Snohomish
99105,46.9093,-118.1025,Benge,Washington,Adams
98932,46.3459,-120.1928,Granger,Washington,Yakima
98004,47.6452,-122.2178,Yarrow Point,Washington,King
99119,48.6094,-117.3636,Lost Creek,Washington,Pend Oreille
98936,46.5537,-120.3831,Moxee City,Washington,Yakima
98606,45.7302,-122.4833,Hockinson,Washington,Clark
98568,46.8402,-123.2348,Oakville,Washington,Grays Harbor
98108 98178 98168 98188 98138 98190,47.4749,-122.2727,Tukwila,Washington,King
98282,48.0945,-122.4151,Mabana,Washington,Island
98051,47.3618,-121.8801,Kangley,Washington,King
98326,48.2536,-124.2579,Clallam Bay,Washington,Clallam
99156,48.1791,-117.0546,Newport,Washington,Pend Oreille
98310,47.5884,-122.6056,Enetai,Washington,Kitsap
98296 98012 98072,47.8292,-122.1452,Clearview,Washington,Snohomish
98074,47.6348,-122.0554,Sahalee,Washington,King
98576 98597,46.9398,-122.6261,Yelm,Washington,Thurston
98335,47.3048,-122.5896,Midway,Washington,Pierce
98501 98502 98506 98504 98507 98508,47.0417,-122.8958,Olympia,Washington,Thurston
99125,46.928,-117.6865,Endicott,Washington,Whitman
